id,created_at,tweet_id,username,fullname,followers,location,text,retweet_count,favorite_count,clasificacion
1,2017-03-15 23:53:31,"8,42E+30",@PedroTonantzin,Sur Digital Medios,,,Asesinan a una mujer al interior de su domicilio en #Temixco #Morelos #Feminicidio,2,1,reporte
2,2017-03-15 23:53:13,"8,42E+31",@Postnatal6meses,Postnatal 6 meses,,,Patriarcado y capital son alianza criminal! #NiUnaMenos,10,7,activismo
3,2017-03-15 23:53:06,"8,42E+31",@dianamerchanp,Diana Merchan,,,"La violencia no tiene fronteras, hoy exigimos #Justicia para las #43NiñasDeGuatemala #NiUnaMenos",42,36,reporte
4,2017-03-15 23:52:06,"8,42E+31",@jquattropani,Julio E. Quattropani,,,Si exigen ser pobre para oponerse a las desigualdades económicas ¿Hay que ser mujer para pedir #NiUnaMenos? ¿Negro para oponerse al racismo?,0,0,opinion
5,2017-03-15 23:52:01,"8,42E+31",@DARWINA_J,DARWINA,,,FEMINICIDIO 19 EN #Puebla QUE PASO @TonyGali NO QUE MUY SEGURA? YA SALISTE COMO LA RATA ASESINA DE @RafaMorenoValle,0,0,reporte
6,2017-03-15 23:50:02,"8,42E+31",@RodrigoRivasU,RodriGo RiVas UriBe,,,Recibió @LegislativoJal iniciativa de Gob @AristotelesSD para aumentar castigo por #feminicidio Propone 70 años de cárcel,0,0,reporte
7,2017-03-15 23:49:54,"8,42E+31",@balenthin,valentin H. Paredes.,,,"Edo. De Mex. Campaña Vs Feminicidio y violencia Vs. La mujer, las mujeres también se vuelven botín político viene la campaña por el Gobierno",0,0,opinion
8,2017-03-15 23:49:46,"8,42E+31",@CiudadaniaXpres,CiudadaniaXpres,,,La columna Rota/Elena Arlett; un feminicidio encubierto -,0,0,reporte
9,2017-03-15 23:48:44,"8,42E+31",@abogatogarciag,Compa Abogato.,,,Feminicidio 19: A Reyna Angélica la asesinaron de un balazo en la frente en Izúcar vía @CentralPuebla,0,0,reporte
10,2017-03-15 23:45:10,"8,42E+31",@NoireDeVagina,V de Vagina,,,ni una mención a violencia machista o feminicidio en la noticia. En fin,0,1,activismo
11,2017-03-15 23:42:36,"8,42E+31",@QuePasaSalta,Que Pasa Salta,,,#NiUnaMenos / El Concejo aprobó el protocolo contra la violencia de género en lugares de entretenimiento,4,9,reporte
12,2017-03-15 23:40:35,"8,42E+31",@DaianaTPR,Daiana Piquetera_TPR,,,"@CNMujeres TOMADO POR MUJERES, reclamamos:subsidio para #Karinaabregu YA!, medicamentos, leches para su hijo de 6 meses #NiUnaMenos",0,1,opinion
13,2017-03-15 23:39:58,"8,42E+31",@LeiAisen,Lei Aisen,,,Mi marido me prohíbe recibir visitas en Crocs #NiUnaMenos,0,3,opinion
14,2017-03-15 23:30:58,"8,42E+31",@La_Prensa_MX,La Prensa.MX,,,"Elena Arlette, un feminicidio encubierto -",1,0,reporte
15,2017-03-15 23:28:40,"8,42E+31",@Danycastagno,Daniella Castagno,,,Vieron en plza Italia una tremenda marcha de mujeres valientes; protestando por lo q ese monstruo le hizo a #Nabila? Yo tampoco #Niunamenos,1,1,activismo
16,2017-03-15 23:18:48,"8,42E+31",@PorqueSoyIris,iris orellana,,,"Qué ASCO mujeres criticando otras mujeres como un machirulo lo haría: ¡Cuánta cirugía, GORDA, MALCOJIDA! Che, che, PEEERO #NiUNaMenos",3,1,opinion
17,2017-03-15 23:18:21,"8,42E+30",@alancaceres5,Alan Xavier Caceres,,,"Una semana después del incidente en el NiUnaMenos, volvieron los disturbios al Consejo Nacional de Mujeres",0,0,opinion
18,2017-03-15 23:17:07,"8,42E+31",@tarantulaes,vivina,,,acá @MarceFiasche posando para la foto c el cartelito d #NiUnaMenos (no sabemos qué significa para él),1,0,opinion
19,2017-03-15 23:14:56,"8,42E+31",@EligeRed,Elige Red de Jóvenes,,,No queremos más #mujeres desaparecidas ni que sus casos sean invisibles. #NiUnaMenos #Recomendamos el alarmante caso de @GobiernoJalisco,6,7,activismo
20,2017-03-15 23:01:40,"8,42E+31",@RebFeminista,♀Rebelión Feminista ♀,,,"Comunicado sobre el #8M y el feminicidio de estas niñas.
#FueElEstado #NiUnaMenos #MujeresEnHuelga",16,13,reporte
21,2017-03-15 22:50:02,"8,42E+31",@elliberaldelsur,Liberal del Sur,,,"#ALERTAURBANA ... El triple feminicidio fue cometido cerca de la preparatoria de la comunidad de Atlatongo, en el...",0,0,reporte
22,2017-03-15 22:47:45,"8,42E+31",@valle_ramos,Valle Ramos,,,"Exigimos justicia para #LasNiñasDeGuatemala. No fue el fuego, fue el Estado #Feminicidio",11,11,opinion
23,2017-03-15 22:46:40,"8,42E+31",@alejandrotv40,Alejandro González.,,,Por la mañana se localizan tres cuerpos de Mujeres #FEMINICIDIO en la Comunidad Atlatongo Teotihuacán #Estado de México,0,0,reporte
24,2017-03-15 22:46:31,"8,42E+31",@OscarJDomingo,Oscar,,,Jueves 16: nueva cita contra las violencias machistas y los feminicidios. #NiunaMenos #VivasNosQueremos,12,4,activismo
25,2017-03-15 22:31:19,"8,42E+31",@asamcarabanchel,Asamblea Carabanchel,,,Por #LasNiñasDeGuatemala concentración en #Madrid 40 niñas asesinadas #FueElEstado #TragediaHogarSeguro #Guatemala #Feminicidio #NiUnaMenos,31,23,reporte
26,2017-03-15 22:25:00,"8,42E+31",@SinEmbargoMX,Sin Embargo MX,,,Feminicidio 19 en Puebla: Reyna salió a vender joyería en Atlixco el lunes; hoy la encontraron muerta en Izúcar,48,8,reporte
27,2017-03-15 22:24:41,"8,42E+31",@FlacsoMx,Flacso México,,,“Los medios de comunicación tienen una fuerte carga de culpabilización a víctimas de feminicidio” Nelson Arteaga profesor de @FlacsoMx,3,3,reporte
28,2017-03-15 22:22:45,"8,42E+31",@catalinclaudias,Claudia Catalin,,,Evaluamos #8M desde la mesa #niunamenos,0,0,reporte
29,2017-03-15 22:21:21,"8,42E+31",@TilinLuna,Luna,,,"“En México es muy fácil hacer pasar un feminicidio por un asesinato del crimen organizado"" @marisol_alcocer de @FlacsoMx",3,2,opinion
30,2017-03-15 22:21:15,"8,42E+31",@griego_tragico,Juan Zezatti Ramírez,,,Espero que hayan llevado guaruras a ciudad feminicidio.,0,2,opinion
31,2017-03-15 22:15:09,"8,42E+31",@CentronlineMx,Periódico CENTRO ⭕️,,,"#Feminicidio 20 en #Puebla, le dieron un balazo en el rostro",0,2,reporte
32,2017-03-15 22:14:35,"8,42E+31",@5aintDraco,Draco L. Dracul,,,#SOSPORMÉXICO Violencia en Edomex: Triple feminicidio en Teotihuacán y en Ecatepec ejecuci…,0,0,reporte
33,2017-03-15 22:14:04,"8,42E+31",@NotiGDL,Noticias Guadalajara,,,Ejecutivo propone elevar las penas por feminicidio,0,4,reporte
34,2017-03-15 22:11:21,"8,42E+31",@TilinLuna,Luna,,,“El reto es ver al feminicidio como tema social y no meramente institucional atrapado en redes de la burocracia” Nelson Arteaga de @FlacsoMx,0,0,opinion
35,2017-03-15 22:10:17,"8,42E+31",@SinEmbargoTR,SinEmbargoTR,,,Feminicidio 19 en Puebla: Reyna salió a vender joyería en Atlixco el lunes; hoy la encontraron muerta en Izúcar,5,0,reporte
36,2017-03-15 22:08:46,"8,42E+31",@LA_JUCO,JUCO-NACIONAL,,,"Comunicado se JUCO ante feminicidio en Guatemala. 
Ni una mas en ningun rincon del mundo!",5,0,opinion
37,2017-03-15 22:08:22,"8,42E+31",@elANTIMILI,Kanabico Insumiso,,,Que #LasNiñasDeGuatemala no se queden en el olvido patriarcal e institucional. @jimmymoralesgt @GuatemalaGob @piedadcordoba @NiUnaMenos_,14,8,reporte
38,2017-03-15 22:05:41,"8,42E+31",@edurnehotz,Edurne#Askatasuna,,,"¿Me ayudáis a difundir? @afgafasmoradas @feminicidio La familia de Sesé, asesinada en febrero, necesita ayuda",65,23,opinion
39,2017-03-15 22:00:03,"8,42E+31",@AstrolabioSLP,Astrolabio Diario,,,"#NiUnaMenos @PGJE_SLP informó sobre el asesinato de una mujer en Ahualulco, podría tratarse del 33 feminicidio cometido en un año en #SLP",0,0,reporte
40,2017-03-15 21:59:19,"8,42E+31",@estherpinedag,Esther Pineda G,,,Feminicidio infantil y Estado de in-seguridad - Noticias Uruguay LARED21,0,0,reporte
41,2017-03-15 21:56:05,"8,42E+31",@NefelibataSoy,Itzel C. Ríos,,,Charlamos hoy en @FlacsoMx sobre #feminicidio en AL y las violencias contra las mujeres,0,1,reporte
42,2017-03-15 21:53:58,"8,42E+31",@PsicoUNLP,Psicologia UNLP,,,Revivimos la jornada del #8M con una galería de imágenes de @PsicoUNLP. #NiUnaMenos #NosotrasParamosEnLaUNLP,0,3,reporte
43,2017-03-15 21:53:34,"8,42E+31",@ujcemadrid,UJCE en Madrid,,,"Otro día, otra agresión machista. El #MachismoMata y agrede diariamente Digamos Basta #NiUnaAgresiónMas #NiUnaMenos",12,5,activismo
44,2017-03-15 21:52:52,"8,42E+31",@EjercitoOriGM,👅,,,Sebastián me recordo al tipo que iba a la marcha #NiUnaMenos y luego se enteraron de su historial con su ex mujer y dejaba mucho que desear.,1,1,opinion
45,2017-03-15 21:50:33,"8,42E+31",@anavemoreno,Ana Moreno,,,"En el @CNMujeres mandan los hombres fuertes y rudos.
#NiUnaMenos hipocresía.",0,0,opinion
46,2017-03-15 21:49:39,"8,42E+31",@informador_JAL,JALISCO,,,Ejecutivo propone elevar las penas por feminicidio,0,2,reporte
47,2017-03-15 21:41:24,"8,42E+31",@lauravi,lauravi,,,Abanderado del #NiUnaMenos,0,0,opinion
48,2017-03-15 21:38:20,"8,42E+31",@DanteBarrera10,Dante Barrera,,,"Mira la Noticias: ""Cuestionan actuación de fiscal y forense en el proceso por feminicidio de Fabiola Cáceres""",0,0,reporte
