id,created_at,tweet_id,username,fullname,followers,location,text,retweet_count,favorite_count,clasificacion
2,2017-03-15 23:53:13,"8,42E+31",@Postnatal6meses,Postnatal 6 meses,,,Patriarcado y capital son alianza criminal! #NiUnaMenos,10,7,activismo
10,2017-03-15 23:45:10,"8,42E+31",@NoireDeVagina,V de Vagina,,,ni una mención a violencia machista o feminicidio en la noticia. En fin,0,1,activismo
15,2017-03-15 23:28:40,"8,42E+31",@Danycastagno,Daniella Castagno,,,Vieron en plza Italia una tremenda marcha de mujeres valientes; protestando por lo q ese monstruo le hizo a #Nabila? Yo tampoco #Niunamenos,1,1,activismo
19,2017-03-15 23:14:56,"8,42E+31",@EligeRed,Elige Red de Jóvenes,,,No queremos más #mujeres desaparecidas ni que sus casos sean invisibles. #NiUnaMenos #Recomendamos el alarmante caso de @GobiernoJalisco,6,7,activismo
24,2017-03-15 22:46:31,"8,42E+31",@OscarJDomingo,Oscar,,,Jueves 16: nueva cita contra las violencias machistas y los feminicidios. #NiunaMenos #VivasNosQueremos,12,4,activismo
43,2017-03-15 21:53:34,"8,42E+31",@ujcemadrid,UJCE en Madrid,,,"Otro día, otra agresión machista. El #MachismoMata y agrede diariamente Digamos Basta #NiUnaAgresiónMas #NiUnaMenos",12,5,activismo
51,2017-03-15 21:30:06,"8,42E+31",@elcolef,El Colef,,,#PróximoEvento Feminicidio / femicidio palabra antisistémica del sur global,2,3,activismo
53,2017-03-15 21:20:13,"8,42E+31",@prodavinci,Prodavinci,,,"Argentina, pionera en la lucha de género al grito de #NiUnaMenos; por Macarena Gagliardi",3,3,activismo
64,2017-03-15 20:35:08,"8,42E+31",@revistzonalibre,Revista Zonalibre,,,"Rocío de Moreno visitó Babahoyo junto a la Brigada ""Las Manuelas"" @LasManuelasEc #NiUnaMenos #TodaUnaVida",1,0,activismo
69,2017-03-15 20:21:19,"8,42E+31",@Editorialunlp,Editorial UNLP,,,"En el mes de la mujer, nuestra serie ""Género"" para seguir levantando estas banderas #NiUnaMenos #VivasNosQueremos",1,1,activismo
79,2017-03-15 20:03:40,"8,42E+31",@adnciudad,Adn Ciudad,,,"TOBILLERAS, MUJERES SEGURAS #tobilleras #mujeresseguras #niunamenos @SeguridadBA @LaFiscaliaCABA",0,1,activismo
100,2017-03-15 19:18:29,"8,42E+31",@AndreMalquin,Andrea Malquin M.,,,Mañana estaremos en el Parque Calderón en la vigilia por el feminicidio colectivo de niñas en Guatemala. #FueElEstado,11,10,activismo
